id,character_id,emotion,text_zh,text_ja,safe_version,condition,interaction_type
# Cartridge 3: 《哈吉米南北绿豆》
c3_001,system,,,,,,env_switch:computer_room
c3_002,forum_post,,【南北绿豆BBS】【巴别塔】我在塔上看到了哈吉米了。,【南北绿豆BBS】【巴别塔】我在塔上看到了哈吉米了。,巴别塔发帖。,,
c3_003,forum_post,,【巴别塔】不是人。也不是动物。更像一句话穿上了雨衣。,【巴别塔】不是人。也不是动物。更像一句话穿上了雨衣。,哈吉米不是人。,,
c3_004,forum_post,,【巴别塔】它站在绿色的光里。问我南边的豆子有没有煮熟。,【巴别塔】它站在绿色的光里。问我南边的豆子有没有煮熟。,绿光里的问题。,,
c3_005,forum_post,,【巴别塔】我回答不知道。它就笑了。笑声像加载失败。,【巴别塔】我回答不知道。它就笑了。笑声像加载失败。,笑声加载失败。,,
c3_006,forum_post,,【巴别塔】如果你读到这里。说明你已经在锅里。,【巴别塔】如果你读到这里。说明你已经在锅里。,已经在锅里。,,
c3_007,system,,,,,,env_switch:classroom
c3_008,emida,neutral,早上到学校的时候。每个人都在说哈吉米。,早上到学校的时候。每个人都在说哈吉米。,大家都在说哈吉米。,,
c3_009,student_a,,你今天哈吉米了吗。,你今天哈吉米了吗。,哈吉米了吗。,,
c3_010,student_b,,别乱用。那是北边说法。,别乱用。那是北边说法。,北边说法。,,
c3_011,student_c,,南派已经证明绿豆要横着煮。,南派已经证明绿豆要横着煮。,南派证明。,,
c3_012,student_a,,横着煮不是旧版本吗。现在流行倒着煮。,横着煮不是旧版本吗。现在流行倒着煮。,倒着煮。,,
c3_013,emida,internal,我坐下。书包还没放稳。世界已经跳过我更新了一次。,我坐下。书包还没放稳。世界已经跳过我更新了一次。,世界更新了。,,
c3_014,student_b,,你别跟埃弥亣说。她肯定听不懂。,你别跟埃弥亣说。她肯定听不懂。,她听不懂。,,
c3_015,emida,neutral,我听见了。,我听见了。,听见了。,,
c3_016,student_b,,那你说。哈吉米往南还是往北。,那你说。哈吉米往南还是往北。,往南还是往北。,,
c3_017,emida,neutral,它不是绿豆吗。,它不是绿豆吗。,不是绿豆吗。,,
c3_018,student_a,,完了。她还停在词典版本。,完了。她还停在词典版本。,词典版本。,,
c3_019,student_c,,不要笑。词典派也有人。只是比较可怜。,不要笑。词典派也有人。只是比较可怜。,词典派。,,
c3_020,emida,internal,他们笑得很自然。像我错过的不是梗。是上课铃。,他们笑得很自然。像我错过的不是梗。是上课铃。,错过上课铃。,,
c3_021,system,,,,,,env_switch:school_hallway
c3_022,emida,neutral,走廊的公告栏被贴满了打印纸。,走廊的公告栏被贴满了打印纸。,公告栏贴满纸。,,
c3_023,narrator,,南派说哈吉米会把人带到塔下。北派说哈吉米本来就在塔顶。,南派说哈吉米会把人带到塔下。北派说哈吉米本来就在塔顶。,南北派别。,,
c3_024,narrator,,绿豆派说它能洗掉坏字。黑锅派说所有字都应该煮烂。,绿豆派说它能洗掉坏字。黑锅派说所有字都应该煮烂。,更多派别。,,
c3_025,narrator,,最下面有一张手写便条。别问是什么意思。问了就输了。,最下面有一张手写便条。别问是什么意思。问了就输了。,别问意思。,,
c3_026,emida,internal,我突然发现。不是我不懂一个词。,我突然发现。不是我不懂一个词。,不是不懂词。,,
c3_027,emida,internal,是所有人都在装作不用懂。,是所有人都在装作不用懂。,大家不用懂。,,
c3_028,student_a,,你看新帖了吗。巴别塔说塔上真的有哈吉米。,你看新帖了吗。巴别塔说塔上真的有哈吉米。,新帖。,,
c3_029,student_b,,他昨天不是说哈吉米是气味吗。,他昨天不是说哈吉米是气味吗。,昨天是气味。,,
c3_030,student_a,,那是旧哈吉米。今天是塔顶哈吉米。,那是旧哈吉米。今天是塔顶哈吉米。,今天是塔顶。,,
c3_031,student_c,,你们都太浅了。真正的哈吉米是南北之间那条线。,你们都太浅了。真正的哈吉米是南北之间那条线。,南北之间的线。,,
c3_032,emida,neutral,那条线在哪里。,那条线在哪里。,线在哪里。,,
c3_033,student_c,,你问这个问题就说明你不在里面。,你问这个问题就说明你不在里面。,你不在里面。,,
c3_034,system,,,,,,env_switch:computer_room
c3_035,emida,neutral,我回到论坛。帖子刷新得很快。像有人在里面倒水。,我回到论坛。帖子刷新得很快。像有人在里面倒水。,论坛刷新很快。,,
c3_036,forum_post,,【热帖】哈吉米南北绿豆路线图。新手必看。,【热帖】哈吉米南北绿豆路线图。新手必看。,路线图。,,
c3_037,forum_post,,【回复】看完了。我支持北绿豆。南边全是广告号。,【回复】看完了。我支持北绿豆。南边全是广告号。,支持北绿豆。,,
c3_038,forum_post,,【回复】楼上别装。你昨天还在南锅群里发言。,【回复】楼上别装。你昨天还在南锅群里发言。,南锅群。,,
c3_039,forum_post,,【回复】哈吉米不是立场。哈吉米是刷新。,【回复】哈吉米不是立场。哈吉米是刷新。,哈吉米是刷新。,,
c3_040,forum_post,,【回复】我也听到了。塔那边有声音。它说绿豆还没熟。,【回复】我也听到了。塔那边有声音。它说绿豆还没熟。,塔那边有声音。,,
c3_041,forum_post,,【回复】别发这个句式。这个句式已经污染了。,【回复】别发这个句式。这个句式已经污染了。,句式污染。,,
c3_042,forum_post,,【回复】污没污染不是你说了算。哈吉米哈吉米哈吉米。,【回复】污没污染不是你说了算。哈吉米哈吉米哈吉米。,重复哈吉米。,,
c3_043,emida,internal,我看着这些字。明明每个都认识。连起来却像门被反锁。,我看着这些字。明明每个都认识。连起来却像门被反锁。,认识却不懂。,,
c3_044,forum_post,,【1999存档】那个沉默用户一直在线。谁也没见他说过话。,【1999存档】那个沉默用户一直在线。谁也没见他说过话。,沉默用户。,,
c3_045,forum_post,,【1999存档】有人问第二巴别塔在哪里。沉默用户发了一个空白附件。,【1999存档】有人问第二巴别塔在哪里。沉默用户发了一个空白附件。,空白附件。,,
c3_046,forum_post,,【1999存档】附件打开以后。屏幕上只有一颗绿色的豆子。,【1999存档】附件打开以后。屏幕上只有一颗绿色的豆子。,绿色豆子。,,
c3_047,emida,internal,旧帖子被挖出来以后。大家像发现古籍一样兴奋。,旧帖子被挖出来以后。大家像发现古籍一样兴奋。,旧帖成古籍。,,
c3_048,forum_post,,【回复】原来哈吉米从1999年就存在。,【回复】原来哈吉米从1999年就存在。,1999存在。,,
c3_049,forum_post,,【回复】不是存在。是我们终于把它说出来了。,【回复】不是存在。是我们终于把它说出来了。,说出来了。,,
c3_050,forum_post,,【回复】说出来以后它就会反过来说我们。,【回复】说出来以后它就会反过来说我们。,它反过来说我们。,,
c3_051,emida,internal,这句话让我停了一下。,这句话让我停了一下。,停了一下。,,
c3_052,emida,internal,我想起麦高芬说的。至少还会骂人。,我想起麦高芬说的。至少还会骂人。,想起麦高芬。,,
c3_053,system,,,,,,env_switch:cinema
c3_054,emida,neutral,下午我逃进电影院。不是为了看电影。只是那里没人讨论绿豆。,下午我逃进电影院。不是为了看电影。只是那里没人讨论绿豆。,逃进电影院。,,
c3_055,narrator,,屏幕上放着一部老片。构图端正。每个人站在画面中间。像被钉住。,屏幕上放着一部老片。构图端正。每个人站在画面中间。像被钉住。,老片构图端正。,,
c3_056,emida,internal,我喜欢这种画面。至少它承认自己是安排过的。,我喜欢这种画面。至少它承认自己是安排过的。,画面被安排。,,
c3_057,narrator,,电影里有人在餐桌前等信。等了很久。汤冷了又热。热了又冷。,电影里有人在餐桌前等信。等了很久。汤冷了又热。热了又冷。,电影等信。,,
c3_058,emida,internal,我突然明白为什么大家喜欢哈吉米。,我突然明白为什么大家喜欢哈吉米。,明白一点。,,
c3_059,emida,internal,它不需要真的懂。只要大家一起等它出现。它就已经出现了。,它不需要真的懂。只要大家一起等它出现。它就已经出现了。,一起等就出现。,,
c3_060,system,,,,,,env_switch:school_hallway
c3_061,emida,neutral,傍晚的走廊空了。公告栏的纸被人撕掉一半。,傍晚的走廊空了。公告栏的纸被人撕掉一半。,公告栏被撕。,,
c3_062,macguffin,casual,你看起来像被绿豆打了一拳。,你看起来像被绿豆打了一拳。,像被绿豆打了。,,
c3_063,emida,neutral,你怎么又在这里。,你怎么又在这里。,又在这里。,,
c3_064,macguffin,grin,学校围墙很好翻。别学。,学校围墙很好翻。别学。,别学翻墙。,,
c3_065,emida,neutral,所有人都在说哈吉米。我听不懂。,所有人都在说哈吉米。我听不懂。,听不懂哈吉米。,,
c3_066,macguffin,casual,听不懂很正常。懂才比较危险。,听不懂很正常。懂才比较危险。,懂比较危险。,,
c3_067,emida,confused,可他们好像真的懂。,可他们好像真的懂。,他们像懂。,,
c3_068,macguffin,serious,他们只是一直说。说到自己也不好意思承认不懂。,他们只是一直说。说到自己也不好意思承认不懂。,一直说。,,
c3_069,macguffin,serious,你是少数还在问这是什么意思的人。,你是少数还在问这是什么意思的人。,你还在问。,,
c3_070,emida,neutral,这算夸奖吗。,这算夸奖吗。,算夸奖吗。,,
c3_071,macguffin,casual,算急救。,算急救。,算急救。,,
c3_072,emida,thoughtful,可是问问题会让人显得很慢。,可是问问题会让人显得很慢。,问问题很慢。,,
c3_073,macguffin,serious,慢一点好。刷新太快的时候。人会以为自己变新了。,慢一点好。刷新太快的时候。人会以为自己变新了。,慢一点好。,,
c3_074,emida,internal,她说完以后。走廊尽头的灯闪了一下。,她说完以后。走廊尽头的灯闪了一下。,灯闪了一下。,,
c3_075,system,,,,,,red_flash
c3_076,narrator,,公告栏上剩下的纸同时卷起来。像很多张小舌头。,公告栏上剩下的纸同时卷起来。像很多张小舌头。,纸卷起来。,,
c3_077,narrator,,上面的字变成哈吉米。又变成南。又变成北。最后全都变成绿色的小方块。,上面的字变成哈吉米。又变成南。又变成北。最后全都变成绿色的小方块。,字变成方块。,,
c3_078,emida,shaken,你看见了吗。,你看见了吗。,你看见了吗。,,
c3_079,macguffin,lowered,看见了。所以我才说别去塔。,看见了。所以我才说别去塔。,别去塔。,,
c3_080,emida,neutral,这两件事有关系吗。,这两件事有关系吗。,有关系吗。,,
c3_081,macguffin,serious,所有人都把自己的解释往塔上挂。挂多了。塔就会看起来像答案。,所有人都把自己的解释往塔上挂。挂多了。塔就会看起来像答案。,塔像答案。,,
c3_082,emida,internal,答案。这个词很轻。轻到可以被任何人拿走。,答案。这个词很轻。轻到可以被任何人拿走。,答案很轻。,,
c3_083,system,,,,,,env_switch:bedroom
c3_084,emida,neutral,晚上回家。论坛还在刷新。,晚上回家。论坛还在刷新。,论坛还在刷新。,,
c3_085,forum_post,,【巴别塔】我又看到了。哈吉米不是东西。是大家看向同一个洞时留下的形状。,【巴别塔】我又看到了。哈吉米不是东西。是大家看向同一个洞时留下的形状。,哈吉米是形状。,,
c3_086,forum_post,,【巴别塔】洞在塔上。塔在城市边缘。边缘在每个人嘴里。,【巴别塔】洞在塔上。塔在城市边缘。边缘在每个人嘴里。,洞和塔。,,
c3_087,forum_post,,【巴别塔】不要相信我。我也只是刚刚被刷新。,【巴别塔】不要相信我。我也只是刚刚被刷新。,不要相信我。,,
c3_088,emida,internal,我把页面关掉。房间里安静得不自然。,我把页面关掉。房间里安静得不自然。,关掉页面。,,
c3_089,emida,internal,床头柜上有两根烟蒂。现在又多了一根。,床头柜上有两根烟蒂。现在又多了一根。,又多一根烟蒂。,,
c3_090,emida,neutral,三根。横着排成一排。,三根。横着排成一排。,三根烟蒂。,,
c3_091,emida,internal,像有人在我不在的时候。替我把三张票根收好了。,像有人在我不在的时候。替我把三张票根收好了。,三张票根。,,
c3_092,emida,internal,我还是什么都没懂。,我还是什么都没懂。,还是没懂。,,
c3_093,emida,internal,可我知道。再不去问。所有人都会替我回答。,可我知道。再不去问。所有人都会替我回答。,要去问。,,
c3_094,emida,neutral,第二巴别塔。,第二巴别塔。,第二巴别塔。,,
c3_095,emida,neutral,我明天去看一眼。只看一眼。,我明天去看一眼。只看一眼。,明天去看。,,
